size,hit_rate
50,0.6083193549751209
100,0.6820868262448122
150,0.7251012382174019
200,0.7531660226217829
250,0.7686794831262925
300,0.779160734674316
350,0.7867020001973415
400,0.7919194685471838
450,0.7975799484898339
500,0.8034599205398297
550,0.8059548812829616
600,0.8083551986403571
650,0.8097929726279246
700,0.8111199937172902
750,0.8127853145684363
800,0.8146217989895308
850,0.8157816838870643
900,0.8165368172838959
950,0.8173684708649399
1000,0.8184860682922507
1050,0.8198271852050237
1100,0.8205480858878658
1150,0.8218046278601936
1200,0.8231880322431891
1250,0.8242109862847639
1300,0.8247244769946094
1350,0.8251111052937872
1400,0.8254816240804992
1450,0.8259467862529475
1500,0.8262005110742829
1550,0.826403893669163
1600,0.8268710695306695
1650,0.827106671150481
1700,0.827551696432347
1750,0.8279363110424667
1800,0.8285041713568841
1850,0.8289834293527399
1900,0.8292129899053767
1950,0.8293942219206164
2000,0.8295794813139724
2050,0.8297586996401538
2100,0.8299157673866947
2150,0.8301231773596912
2200,0.8304111348950163
2250,0.8305822984649648
2300,0.8307031198084579
2350,0.8308219274628927
2400,0.8309910773437831
2450,0.8310937754857521
2500,0.8312468158541767
2550,0.8315730334816079
2600,0.8320361819649981
2650,0.8323201121222068
2700,0.832636261304347
2750,0.8328376302101688
2800,0.8330349717378741
2850,0.8331719025938329
2900,0.8333229292731992
2950,0.833506174977497
3000,0.8338162830924626
3050,0.8340257067545173
3100,0.834180760812
3150,0.834698278899962
3200,0.8348996478057837
3250,0.8351271946693624
3300,0.8357876846804577
3350,0.8359870398972213
3400,0.8361159159969472
3450,0.8363233259699436
3500,0.8365971876818613
3550,0.8368871589062447
3600,0.8371731027525116
3650,0.8374228001957306
3700,0.8376785387061242
3750,0.8379604551742748
3800,0.83836117929686
3850,0.8387196159492228
3900,0.8388162730240173
3950,0.838943135434685
4000,0.8390981894921677
4050,0.839285462574582
4100,0.8394264208086573
4150,0.8396398718488284
4200,0.8397264604783317
4250,0.8398009669734857
4300,0.839913733560746
4350,0.8400124043245987
4400,0.8401815542054889
4450,0.8405782509499579
4500,0.841190412423656
4550,0.841283042120334
4600,0.8414159455981765
4650,0.8415689859666009
4700,0.8417602864271316
4750,0.8418891625268575
4800,0.8420885177436211
4850,0.8421912158855902
4900,0.8427731720234152
4950,0.8430993896508464
